Numero,Categoria,Testo domanda,Risposta A,Risposta B,Risposta C,Risposta D,Risposta corretta
1,Mare,Cosa misura la “lunghezza d’onda”?,La distanza verticale dal cavo alla cresta,La distanza tra una cresta e l’altra,La distanza che separa il livello di mare calmo e il fondo marino,Il tempo intercorso tra il passaggio di una cresta e quella successiva su uno stesso punto,B
2,Mare,A quale profondità inizia l’acqua bassa per un’onda lunga 8 metri?,Dove una persona adulta tocca ancora con i piedi il fondo,"Dipende dall’altezza dell’onda, non dalla lunghezza",A 4 metri,A 6 metri,C
3,Mare,Quale effetto produce il fenomeno della rifrazione quando il fronte d’onda si avvicina a riva?,Le onde si allineano sulle batimetriche,Le onde frangono,Le onde si abbassano in altezza,"È un fenomeno che riguarda la luce, non le onde",A
4,Mare,Quale fra le seguenti affermazioni in merito a un’onda frangente è da reputare in genere falsa?,"Le creste diventano asimmetriche, inclinandosi in avanti",Si ha una effettiva traslazione di acqua,Ha un’altezza approssimativamente equivalente o superiore ai tre quarti della profondità dell’acqua,Non c’è trasporto di energia,D
5,Mare,"Quale fra i seguenti non è un tipo di spiaggia distinto, relativamente ai pericoli creati alla balneazione?",Spiagge dominate dalle correnti,Spiagge senza correnti di ritorno,Spiagge artificializzate,Spiagge di estensione ridotta,D
6,Mare,A che distanza dalla battigia si trovano le buche?,"Nella zona della berma, vicino alla battigia","Nella zona delle prime secche, adiacente alla battigia",Nella zona del canalone,Nella zona del banco esterno al di là del canalone,B
7,Mare,Per quale motivo una buca verticale è più pericolosa di una diagonale per un bagnante?,Perché ha profondità maggiore,Perché è più estesa,Perché presenta risucchi di fondo e mulinelli,Perché dirigendosi verso riva ci si trova a nuotare esattamente controcorrente,D
8,Mare,Quale fra le seguenti non è una giusta via di fuga da una buca?,Nuotare parallelamente alla riva in una buca verticale,Nuotare perpendicolarmente alla corrente e diagonalmente alla riva in una buca diagonale,Nuotare verso riva il più velocemente possibile,Nuotare verso il punto di uscita,C
9,Mare,Quale fra i seguenti elementi permettono di riconoscere una buca col mare mosso?,Dalle intaccature dei frangenti che le attraversano,Dalla schiuma che delimita i contorni,Dalla zona scura dell’acqua profonda,Tutte le risposte precedenti indicano elementi validi per il riconoscimento delle buche,D
10,Mare,Quando e come il bagnino dovrebbe segnalare una buca?,"Quando lo stato del mare la rende particolarmente pericolosa, con due bandiere rosse su aste poste sulla riva in prossimità dei punti di non ritorno","Quando lo stato del mare la rende particolarmente pericolosa, con due bandiere rosse su aste poste sulla riva in prossimità dei punti di uscita.","Quando lo stato del mare la rende particolarmente pericolosa, con unabandiera rossa su gavitello posta in prossimità del canalone","Sempre, con una bandiera rossa su asta posta in prossimità della postazione del bagnino",D
11,Mare,Quale fenomeno possiamo aspettarci quando il moto ondoso entra dritto in una baia protetta?,Che ai lati della baia si formi una corrente di deriva diretta verso il centro della baia stessa,Che al centro della baia si formi una corrente di ritorno diretta verso il largo,Che ai lati della baia si formi una corrente di deriva diretta verso il largo,"Sia “A” che “B” sono risposte esatte, mentre “C” è errata",D
12,Mare,Quale fenomeno possiamo aspettarci quando il moto ondoso entra in tralice (diagonalmente) in una baia protetta?,Che ai lati della baia si formi una corrente di deriva diretta verso il centro della baia stessa.,Che al centro della baia si formi una corrente di ritorno diretta verso il largo,Che sul lato protetto della baia si formi una corrente di deriva diretta verso il largo,"Sia “A” che “B” sono risposte esatte, mentre “C” è errata",C
13,Mare,Di quali tipi di fondali sono caratteristici i frangenti di battigia?,Delle spiagge piatte,Delle spiagge con pendenza fra il 2% e il 5%,Delle spiagge più ripide,Delle spiagge protette,C
14,Mare,"Come si chiama la zona in cui i bagnanti vengono portati in avanti dalle onde incidenti e trascinati indietro dalla risacca e dalle onde riflesse, non riuscendo a prendere piede talvolta anche per qualche minuto?",Getto montante,Zona della risacca di fondo,Zona della risacca allargata,Undertow,C
15,Mare,Come si chiama il fenomeno delle serie di onde che presentano altezze variabili ma rispettando una determinata periodicità?,Onda anomala,Battimento dei frangenti,Undertow,Punto di non ritorno,B
